Wall time,Step,Value
1725918911.1173387,1,0.0
1725920130.692081,2,0.0
1726213828.2416098,1,0.0
1726214743.3601105,2,0.0
1726216726.8802328,1,0.0
1726217605.1315,2,0.0
1726220665.3335142,1,0.0
1726222436.4279952,1,0.0
1726223270.0614667,2,0.0
1726224136.084933,3,0.0
1726225028.5022786,4,0.0
1726225879.929884,5,0.0
1726226762.2491195,6,0.0
1726227660.0492363,7,0.0
1726228552.3136377,8,0.0
1726229406.965638,9,0.0
1726230298.4214833,10,0.0
1726231200.8586118,11,0.0
1726232090.391691,12,0.0
1726232944.539201,13,0.0
1726233836.615385,14,0.0
1726234727.441528,15,0.0
1726235682.0513666,16,0.0
1726236513.2744248,17,0.0
1726237408.9915426,18,0.0
1726238303.7662687,19,0.0
1726239203.0007963,20,0.0
1726240050.203202,21,0.0
1726240964.10706,22,0.0
1726241946.6675394,23,0.0
1726242808.7555318,24,0.0
1726243662.9176955,25,0.0
1726244536.5607393,26,0.0
1726245399.4884613,27,0.0
1726246265.6991687,28,0.0
1726247117.9437294,29,0.0
1726247986.3793778,30,0.0
1726248856.6624627,31,0.0
1726249728.217411,32,0.0
1726250581.8922253,33,0.0
1726251453.5071964,34,0.0
1726252324.8295045,35,0.0
1726253136.6021345,36,0.0
1726253965.8040352,37,0.0
1726254826.4713671,38,0.0
1726255682.4485667,39,0.0
1726256554.241537,40,0.0
1726257408.3614812,41,0.0
1726258252.0408957,42,0.0
1726259113.1568482,43,0.0
1726259970.8312473,44,0.0
1726260807.8195941,45,0.0
1726261672.5405276,46,0.0
1726262610.058802,47,0.0
1726263463.919306,48,0.0
1726264316.5741656,49,4.18579929828411e-06
1726265217.0366483,50,4.1828402572718915e-06
1726266084.5412846,51,0.0006807745085097849
1726266953.9278986,52,0.0
1726267814.2100363,53,0.0
1726268712.409437,54,0.0
1726269597.4185941,55,8.998913108371198e-05
1726270474.1877337,56,0.0
1726271363.8794255,57,0.0
1726272239.7642274,58,0.0
1726273128.496808,59,0.0
1726274015.877349,60,0.0
1726274855.2020447,61,0.0
1726275748.6035523,62,0.0
1726276656.3195312,63,0.0
1726277513.4851239,64,0.0
1726278345.7321916,65,0.0
1726279226.8679276,66,0.0
1726280133.6754684,67,0.0
1726281024.4057534,68,0.0
1726281889.7648754,69,0.0
1726282859.4812596,70,0.001569566666148603
1726283764.0115728,71,0.0
1726284688.7556486,72,0.0
1726285525.4016507,73,0.0
1726286397.0529554,74,0.0
1726287307.8717704,75,0.0
1726288168.2476337,76,0.0
1726289004.4565299,77,0.0
1726289897.3909028,78,0.0
1726290792.8708441,79,0.0
1726291682.9455812,80,0.0
1726292543.501032,81,0.0
1726293456.6589515,82,0.0
